slg,bat_avg
0.316,0.237
0.368,0.263
0.243,0.189
0.459,0.297
0.162,0.135
0.216,0.189
0.378,0.189
0.472,0.306
0.25,0.194
0.333,0.222
0.229,0.2
0.343,0.143
0.229,0.171
0.514,0.343
0.257,0.2
0.257,0.2
0.324,0.265
0.235,0.206
0.118,0.118
0.235,0.176
0.212,0.212
0.273,0.242
0.273,0.242
0.091,0.091
0.212,0.212
0.061,0.061
0.182,0.121
0.344,0.281
0.156,0.094
0.281,0.156
0.161,0.129
0.097,0.065
0.233,0.2
0.4,0.3
0.367,0.2
0.276,0.207
0.276,0.172
0.172,0.138
0.379,0.138
0.414,0.276
0.179,0.179
0.286,0.179
0.179,0.143
0.179,0.179
0.074,0.074
0.222,0.148
0.222,0.185
0.111,0.111
0.407,0.296
0.222,0.185
0,0
0.038,0.038
0.192,0.154
0.077,0.077
0.077,0.077
0.192,0.154
0.231,0.192
0.231,0.192
0.04,0.04
0.2,0.12
0.2,0.16
0.32,0.28
0.16,0.12
0.375,0.208
0.417,0.25
0.333,0.167
0.375,0.208
0.167,0.125
0.083,0.083
0.333,0.292
0.083,0.083
0.292,0.167
0.261,0.217
0.348,0.261
0.174,0.13
0.348,0.217
0.217,0.217
0.304,0.261
0.087,0.087
0.091,0.091
0.318,0.227
0.182,0.136
0.273,0.136
0.045,0.045
0.333,0.19
0.095,0.048
0.286,0.143
0.65,0.3
0.15,0.1
0.05,0.05
0.4,0.3
0.05,0.05
0.1,0.1
0.316,0.158
0.421,0.211
0.211,0.158
0.056,0.056
0.167,0.167
0.167,0.167
0.278,0.167
0.294,0.294
0.353,0.235
0.294,0.235
0.294,0.176
0.118,0.118
0,0
0.063,0.063
0.267,0.2
0.4,0.4
0.467,0.267
0.733,0.333
0.2,0.2
0.067,0.067
0.786,0.357
0.143,0.143
0.071,0.071
0.429,0.214
0.071,0.071
0.429,0.214
0,0
0.231,0.077
0,0
0.231,0.231
0.154,0.154
0.308,0.308
0.462,0.308
0.333,0.25
0.25,0.167
0.083,0.083
0.25,0.167
0.833,0.333
0.091,0.091
0.182,0.091
0.545,0.273
0.091,0.091
0.8,0.4
0,0
0,0
0.1,0.1
0.2,0.2
0.2,0.2
0.5,0.4
0.2,0.2
0.2,0.2
0.444,0.111
0,0
0.111,0.111
0.333,0.222
0,0
0.125,0.125
0.125,0.125
0.125,0.125
0,0
0.125,0.125
0.125,0.125
0,0
0.25,0.125
0,0
0,0
0.286,0.286
0,0
0,0
0,0
0.714,0.286
0.286,0.286
0.143,0.143
0.286,0.286
0.143,0.143
0.143,0.143
0.143,0.143
0.429,0.286
0,0
0.429,0.429
0,0
0,0
1,0.5
0.333,0.167
0,0
0,0
0,0
0,0
0,0
0.5,0.5
0,0
0.4,0.2
0.2,0.2
0.2,0.2
0,0
0,0
0.4,0.4
0,0
0,0
0,0
0,0
0.6,0.4
0,0
0,0
0,0
0,0
0.2,0.2
0,0
0.2,0.2
0,0
0,0
0.5,0.25
0.25,0.25
0,0
0.5,0.25
0,0
0.25,0.25
0,0
0.5,0.25
0,0
0,0
0.25,0.25
0.5,0.5
0,0
0,0
0.25,0.25
0,0
0,0
0,0
0,0
0.25,0.25
0,0
0,0
0,0
0,0
0.25,0.25
0,0
0,0
0,0
0.333,0.333
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.333,0.333
0,0
0,0
0.333,0.333
0,0
0.333,0.333
0,0
0,0
0,0
0,0
0.333,0.333
0,0
1.667,0.667
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.5,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.5,0.5
0.5,0.5
0,0
0,0
0,0
0,0
0,0
0.5,0.5
0,0
0,0
0,0
0.5,0.5
0,0
0.5,0.5
0.5,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
1,1
0,0
1,1
0,0
0,0
4,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
